CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
3	Broyden	-85.36719018	-62.8	23.33907408	NY	10.5	0.496872486	self-energy	sharp_wc_2_b_50	8	2	1.153008178	0.01891902118	0.1547104288	-1.402812647	1.900297388	-1.63350253	1.30689185	0.0367748078	0.250104564	-1.632466736	1.305027578	0.03679676269	0.2485029845	-1.61956595	0.8923062516	-7.397582654	1.999961927	a248bdd	2x2_2C_8b_C2v_L	11.925	1.485549257	2	1.655156757	1.5430680855043906	1.0000000000000002	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1507941674	-1.367813589	0.8127993347	-0.4933806157	1.115806153	-2.348927385	-0.2029935238	1.230952896	-1.115444817	2.353310746	0.2028888491	-1.226274903	1.608936489	-3.650141426	0.03000262846	-0.02174328334	2024-07-18@12:48	1.5	-0.7368814024	1	4.697351824e-16	-0.4623584825	1	1.392823986e-16	0.1233065244	v2.7.1	
4	Broyden	-72.60076914	-62.72	22.93471155	YY	10.5	0.5331552659	self-energy	sharp_wc_2_b_50	8	2	1.144182298	0.03489417215	0.2344174742	-1.428381501	1.877100794	-1.699911329	1.562768632	0.07482114756	0.8767755544	-1.700185339	1.562801954	0.0748232906	0.8767654364	-1.933358081	0.8931687984	6.495984019	0.02994460266	a248bdd	2x2_2C_8b_C2v_L	11.92	1.521564188	2	1.641057709	1.5215641881574822	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1579440769	-1.643259777	0.8105880595	-0.564490656	1.124704491	-1.716106594	-0.2318826755	2.469327584	-1.124785762	1.716093258	0.2318929043	-2.46941071	1.796836851	-3.64657856	-1.066061613	0.7338773122	2024-07-18@12:52	1.5	-0.7685959091	1	-3.128696544e-16	-0.4748193214	1	-6.171527844e-16	0.1191586536	v2.7.1	
3	Broyden	-119.5532551	-62.64	23.29855908	NY	10.5	0.4964683238	self-energy	sharp_wc_2_b_50	8	2	1.151994017	0.01990125455	0.1585668039	-1.390385786	1.898245991	-1.62149854	1.301437843	0.03778601305	0.2553131279	-1.621321312	1.300841484	0.03778551157	0.2548669788	-1.610714827	0.8906436234	-24.55676919	1.999999838	a248bdd	2x2_2C_8b_C2v_L	11.915	1.485021077	2	1.653710274	1.5420864540380332	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1513361326	-1.379803553	0.8109317352	-0.4991929298	1.113519584	-2.358759937	-0.2038784069	1.23763111	-1.113491031	2.360286607	0.2038771518	-1.236269094	1.608282635	-3.650975032	0.005883702632	-0.001423115629	2024-07-18@12:55	1.5	-0.7392205924	1	-8.197567544e-16	-0.4641312415	1	-4.896260389e-16	0.1231963491	v2.7.1	
3	Broyden	-73.44710425	-62.56	22.82781615	YY	10.5	0.5424507376	self-energy	sharp_wc_2_b_50	8	2	1.142000747	0.0392384787	0.2548216553	-1.421599542	1.869666315	-1.750457573	1.601126869	0.1222111159	0.8338048521	-1.750686635	1.601168631	0.1222341668	0.8337632563	-1.956721895	0.8624915088	41.88293881	0.01790464415	a248bdd	2x2_2C_8b_C2v_L	11.91	1.531313067	2	1.635982579	1.5313130668622716	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1610211924	-1.709827274	0.8084499079	-0.5936088282	1.137513629	-1.638751236	-0.2602613509	2.528341659	-1.137579814	1.638683403	0.2602738302	-2.528399677	1.838415141	-3.652648555	-3.016538183	0.5887293286	2024-07-18@12:58	1.5	-0.7783725662	1	1.033023239e-15	-0.476903241	1	3.717547644e-16	0.1177281658	v2.7.1	
2	Broyden	-73.75570535	-64	23.61695747	NY	10.5	0.5021298575	self-energy	sharp_wc_2_b_50	8	2	1.15996444	0.01278100028	0.1324297816	-1.45725772	1.911424851	-1.677899369	1.327653869	0.03112870365	0.2157579765	-1.676882251	1.329261351	0.03122401037	0.2164029913	-1.680182133	0.9157938674	-1.226956906	1.984524969	a248bdd	2x2_2C_8b_C2v_L	12	1.491687586	2	1.665283226	1.5518108161519588	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1459412587	-1.288242476	0.8182410514	-0.4578304731	1.119731405	-2.303748651	-0.1956911911	1.172261247	-1.119129886	2.298517714	0.1955803595	-1.175040499	1.601941576	-3.621786813	-0.157880691	0.4302049394	2024-07-18@12:19	1.5	-0.7207732811	1	1.668139686e-16	-0.450097417	1	3.314967962e-16	0.1238609778	v2.7.1	
1	Broyden	-73.77926642	-64.08	23.63251888	NY	10.5	0.5026831461	self-energy	sharp_wc_2_b_50	8	2	1.160360528	0.01268231512	0.1314145074	-1.4573501	1.911867215	-1.678228117	1.329529672	0.03107984252	0.2144476474	-1.677284012	1.329247072	0.03124630398	0.2138926923	-1.681381288	0.9158872748	-1.226885737	1.984492711	a248bdd	2x2_2C_8b_C2v_L	12.005	1.492305302	2	1.665851711	1.5526085909668015	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.145604351	-1.283948261	0.8178527457	-0.456098748	1.119019198	-2.298072095	-0.1951586013	1.17084102	-1.118569741	2.29814876	0.1950550356	-1.169509587	1.600944637	-3.621574713	-0.1578463784	0.4306531058	2024-07-18@12:20	1.5	-0.7199141606	1	-1.496155904e-16	-0.4493756318	1	-1.099271744e-16	0.1238689429	v2.7.1	
1	Broyden	-73.8192405	-64.16	23.65097736	NY	10.5	0.5030533018	self-energy	sharp_wc_2_b_50	8	2	1.160813536	0.01232038989	0.1302880018	-1.457899373	1.912363109	-1.679407562	1.330832701	0.03084182249	0.2130372184	-1.67874541	1.329493736	0.03085709897	0.2120993488	-1.686596787	0.9166410361	-1.226579863	1.984370309	a248bdd	2x2_2C_8b_C2v_L	12.01	1.492718635	2	1.666553968	1.5531468016589913	1.0000000000000007	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1452740408	-1.279059535	0.817645108	-0.4541842369	1.11890896	-2.29396022	-0.1947420275	1.168727178	-1.118714497	2.297282752	0.1946897028	-1.165637386	1.601607201	-3.621488914	-0.1582210431	0.4324737115	2024-07-18@12:22	1.5	-0.7187756096	1	-4.034603666e-16	-0.4485952744	1	-4.722754051e-17	0.1239095167	v2.7.1	
1	Broyden	-73.85742973	-64.24	23.66853755	NY	10.5	0.5034508336	self-energy	sharp_wc_2_b_50	8	2	1.161248827	0.01212479337	0.1291464397	-1.458674454	1.912858433	-1.681017209	1.331495827	0.03071929426	0.210759115	-1.680613907	1.330946713	0.03062338529	0.2106321808	-1.69048896	0.9172068185	-1.226357976	1.984283471	a248bdd	2x2_2C_8b_C2v_L	12.015	1.49316775	2	1.667209919	1.5537764770886304	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1449304801	-1.274151076	0.8175247834	-0.4523327513	1.118781346	-2.291992394	-0.1942890075	1.164163366	-1.118751255	2.29344793	0.1943642651	-1.163479624	1.601747194	-3.621291439	-0.1584340732	0.43375498	2024-07-18@12:23	1.5	-0.7177252442	1	2.558319672e-16	-0.4478238287	1	1.816979562e-16	0.1239335929	v2.7.1	
1	Broyden	-73.90090564	-64.32	23.68668046	NY	10.5	0.5037936919	self-energy	sharp_wc_2_b_50	8	2	1.161700015	0.01180802787	0.1278983529	-1.461207046	1.913433871	-1.684927299	1.332971107	0.03044059188	0.2084630268	-1.685000729	1.332893	0.03043224585	0.2084298609	-1.692163165	0.9177852302	-1.225219113	1.983843306	a248bdd	2x2_2C_8b_C2v_L	12.02	1.493570561	2	1.667869849	1.5544316376900422	0.9999999999999997	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1446289158	-1.269158144	0.8176616133	-0.4504403508	1.119279308	-2.289267781	-0.1939436194	1.160001227	-1.119314445	2.289531175	0.1939443066	-1.159855791	1.600707913	-3.620107824	-0.1603533556	0.4397551313	2024-07-18@12:25	1.5	-0.7166554228	1	-2.431629498e-16	-0.4470037301	1	-3.836164006e-17	0.1239468981	v2.7.1	
1	Broyden	-73.98730099	-64.4	23.70844214	NY	10.5	0.5037560271	self-energy	sharp_wc_2_b_50	8	2	1.16222942	0.01121471861	0.1261746207	-1.468845744	1.914302351	-1.694443388	1.335880848	0.03003414516	0.2050699215	-1.69457223	1.336310224	0.03008351758	0.2052077862	-1.698432888	0.919522664	-1.223463968	1.983181889	a248bdd	2x2_2C_8b_C2v_L	12.025	1.493587424	2	1.668648729	1.5548144450526253	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1444100422	-1.262878227	0.8189916024	-0.4481027152	1.121450509	-2.28532362	-0.1936248041	1.153983193	-1.121423495	2.284110627	0.1935822729	-1.154618828	1.601620201	-3.618434327	-0.1632752203	0.4487854041	2024-07-18@12:26	1.5	-0.7153029605	1	-5.139538874e-16	-0.4460303241	1	-2.308561753e-16	0.1239634528	v2.7.1	
1	Broyden	-74.00254992	-64.48	23.72420115	NY	10.5	0.5043488223	self-energy	sharp_wc_2_b_50	8	2	1.162623287	0.01113308401	0.1252365469	-1.46724822	1.914691552	-1.692322109	1.336114188	0.02998861128	0.2039582186	-1.692754363	1.336220455	0.03002736619	0.2038798103	-1.701864939	0.920112153	-1.222726114	1.982863891	a248bdd	2x2_2C_8b_C2v_L	12.03	1.494230796	2	1.669253941	1.5555734309794	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1440345813	-1.258442791	0.8182149452	-0.4463245319	1.120249066	-2.282701237	-0.1932605714	1.151973991	-1.120334763	2.282526279	0.1931852168	-1.151818577	1.601162604	-3.618103094	-0.1644990978	0.4530831994	2024-07-18@12:28	1.5	-0.7143741196	1	-3.689846923e-16	-0.4453425852	1	2.159262488e-16	0.1239845157	v2.7.1	
2	Broyden	-74.07924759	-64.56	23.74389522	NY	10.5	0.5044844516	self-energy	sharp_wc_2_b_50	8	2	1.163107119	0.01017784391	0.1233378823	-1.481186199	1.915859894	-1.698887608	1.338424082	0.02961451009	0.2011696099	-1.699021199	1.338547506	0.02959877295	0.2012552737	-1.707037238	0.9227367065	-1.217792416	1.980969989	a248bdd	2x2_2C_8b_C2v_L	12.035	1.494424764	2	1.669961171	1.556059013405883	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1438924363	-1.252811816	0.8204918573	-0.4433040164	1.121437564	-2.278850908	-0.1928229481	1.146918285	-1.121479128	2.278577307	0.1928203992	-1.147190463	1.600780358	-3.614485439	-0.1727433706	0.4775149692	2024-07-18@12:30	1.5	-0.7131785212	1	-2.239506662e-16	-0.4444464952	1	1.087424132e-16	0.1239890664	v2.7.1	
2	Broyden	-74.11935278	-64.64	23.76236108	NY	10.5	0.504771852	self-energy	sharp_wc_2_b_50	8	2	1.163562141	0.01009359291	0.1222829928	-1.475833483	1.916104609	-1.704334161	1.340032428	0.02932915368	0.1985932215	-1.704271725	1.34086124	0.02934617795	0.199021601	-1.709390969	0.9224709314	-1.219557327	1.98156249	a248bdd	2x2_2C_8b_C2v_L	12.04	1.494767622	2	1.67063764	1.5567158765061775	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1433397414	-1.246613023	0.8191712458	-0.4419139992	1.122284893	-2.276358963	-0.1925367362	1.142053287	-1.122190992	2.273965731	0.1925277817	-1.143688595	1.600795611	-3.615106591	-0.1699719036	0.470060575	2024-07-18@12:31	1.5	-0.7120622927	1	-2.673555305e-16	-0.4436160529	1	-1.729174132e-16	0.1239993931	v2.7.1	
2	Broyden	-74.1403212	-64.72	23.7800229	NY	10.5	0.505193421	self-energy	sharp_wc_2_b_50	8	2	1.163996801	0.009458008276	0.1210627276	-1.484545674	1.916883257	-1.70397372	1.340444784	0.02921899008	0.1969666634	-1.704747027	1.341544926	0.02920418105	0.1976354127	-1.717354218	0.9301667841	-1.201803276	1.974344798	a248bdd	2x2_2C_8b_C2v_L	12.045	1.495237662	2	1.671306972	1.5573169228508439	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.14325323	-1.24298105	0.8204261453	-0.4396589233	1.121713593	-2.274104396	-0.1920833851	1.138605238	-1.121925585	2.271415789	0.1920905294	-1.140932755	1.597939561	-3.603161339	-0.1985089171	0.5544467884	2024-07-18@12:33	1.5	-0.7109810809	1	-2.969500372e-16	-0.4428460778	1	-1.821831499e-16	0.1240175877	v2.7.1	
1	Broyden	-74.2283785	-64.8	23.79754282	NY	10.5	0.5055320131	self-energy	sharp_wc_2_b_50	8	2	1.164428247	0.009089700104	0.1197699364	-1.490644883	1.91757754	-1.707057807	1.342304218	0.02904605797	0.1954138078	-1.7071195	1.342171914	0.02903745758	0.1953000057	-1.71621541	0.9218247859	-1.224517101	1.983124048	a248bdd	2x2_2C_8b_C2v_L	12.05	1.495628436	2	1.671957163	1.55792903778569	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1430732972	-1.238367917	0.8212667144	-0.4375632688	1.122039695	-2.269643643	-0.1917548554	1.136317864	-1.122049861	2.270016849	0.1917228966	-1.13592524	1.601489724	-3.617474512	-0.1625276806	0.4499020969	2024-07-18@12:35	1.5	-0.7099169759	1	1.100303881e-16	-0.4420635676	1	-6.082264327e-17	0.1240273331	v2.7.1	
